name,estimated_diameter_meters,close_approach_date,relative_velocity_kmh,miss_distance_km
154229 (2002 JN97),2805.6919027157,2024-09-30,71102.3345780285,63953842.156602479
230111 (2001 BE10),828.0183830478,2024-09-30,59957.1755615786,74047015.549397443
370037 (2000 SV20),772.7517171183,2024-09-30,49228.017726353,34862600.987458289
(2001 SQ263),196.8067450894,2024-09-30,93725.6685080623,51581735.27845135
(2014 KP4),812.9053443399,2024-09-30,122987.7010563329,40895941.352928654
(2017 WC15),855.1454292727,2024-09-30,82382.990091431,65638261.648990322
(2018 PL23),631.0154296359,2024-09-30,58828.4949460734,60883273.110448511
(2018 UC2),247.7650126055,2024-09-30,63843.9515343151,58042413.2542159
(2019 GD20),310.4845390059,2024-09-30,93554.3785441306,73906210.279246906
(2019 OK1),85.9092601232,2024-09-30,20502.307062721,69357817.446360185
(2019 SB6),26.1842403492,2024-09-30,19405.0632626124,21272371.536744205
(2020 TL2),74.8238376074,2024-09-30,49415.0674444517,31341667.643428043
(2020 TM6),35.8129403019,2024-09-30,64729.5367970264,62384845.454325255
(2021 CT),24.3242791478,2024-09-30,27651.8575527324,68885443.726417814
(2021 XW5),19.8627775481,2024-09-30,43813.0044709999,21681454.212635261
(2022 FA4),42.8587972046,2024-09-30,23403.769459423,21238222.576642926
(2022 SD29),30.0635303831,2024-09-30,65038.2109542526,70855146.79072948
(2022 VD),9.6391775254,2024-09-30,75116.3067735908,64639343.085043288
(2024 HQ),7.7631857698,2024-09-30,21038.1475469583,54041350.438271003
719194 (2018 PL23),631.0154296359,2024-09-30,58828.4930821518,60883272.003424273
(2024 QA1),278.3812488335,2024-09-30,73378.2219852766,29970437.096282556
(2024 RS5),85.6722117104,2024-09-30,12976.6373762755,31794628.31705668
(2024 SC),159.6761228334,2024-09-30,64519.3116609203,1633056.634500978
(2024 SO),85.3964817927,2024-09-30,45109.564528005,15398737.997660794
(2024 SP1),32.5866697127,2024-09-30,21124.3758704023,9211994.725407192
(2024 SX1),28.0310895465,2024-09-30,18279.8267361401,6272934.503928138
(2024 SJ2),32.7823421543,2024-09-30,26502.2166171817,9469627.270311056
(2024 SR3),91.209479795,2024-09-30,55774.271027399,9177831.523588689
392704 (2012 AE1),933.340215038,2024-10-07,44351.82801904,30498428.282413953
524268 (2001 TO48),613.8185073387,2024-10-07,96044.7096411473,70796080.151170373
(2007 EZ),651.6883821679,2024-10-07,67766.607465898,24110232.374557352
(2007 XN3),450.8582061718,2024-10-07,23595.3276388163,21622286.310277951
(2013 AV60),1047.2249454148,2024-10-07,76898.160841491,62670278.624119078
(2014 FP47),201.3909630836,2024-10-07,31100.7051541539,4908074.447438518
(2016 EC28),62.2357573367,2024-10-07,25030.4305075893,61219162.679755508
(2017 KR27),118.5877908577,2024-10-07,93207.8693601356,68229978.818959013
(2017 SD20),35.8129403019,2024-10-07,98097.4561239871,65357601.115002896
(2020 DT4),47.2106498806,2024-10-07,31763.8948524836,28952299.484539604
(2020 QO5),995.4970531478,2024-10-07,65211.8004956416,44916994.977121012
(2020 RG6),105.6914798531,2024-10-07,48726.4096238177,72181708.401238909
(2021 RA8),15.8503909578,2024-10-07,50234.7966964474,47153918.52326186
(2021 TS1),154.8959201062,2024-10-07,89779.2132914359,65647149.1686883
(2023 BW7),169.839999068,2024-10-07,26157.4872236015,74749397.385725005
(2023 MA2),28.7104486255,2024-10-07,60266.7360850644,69927607.9827853
(2023 UZ2),25.0057554041,2024-10-07,24014.0186921901,15703143.318925887
(2022 DZ29),3.5484605292,2024-10-07,62248.7847799901,49817268.763306676
